LocationID,LocationCode,BrandCode,isCorporate,Name,Address,City,Province,PostalCode,OperatingStatus
148,1247,SWI,FALSE,Main St & Elm Dr Wasaga Beach ,333 Main Street,Wasaga Beach,Ontario,L9Z 0B6,Active
149,1250,SWI,FALSE,"SC-Dundas Street, Paris Ont.  ",82 Dundas Street East,Paris,Ontario,N3L 3H5,Active
150,1252,SWI,FALSE,SC-Airdrie                    ,130 Sierra Springs Drive SE,Airdrie,Alberta,T4B 3G6,Active
151,1254,SWI,FALSE,"SC-Bank St, Ottawa            ",1910 Bank Street,Ottawa,Ontario,K1V 7Z8,Closed
152,1255,SWI,FALSE,SC -  Leduc                   ,5415 Discovery Way,Leduc,Alberta,T9E 8N4,Active
153,1256,SWI,FALSE,"SC-Baldwin &Taunton, Whitby   ",50 Taunton Road East,Whitby,Ontario,L1R 3L5,Active
154,1257,SWI,FALSE,"SC-King George Blvd, Surrey   ","7488 King George Blvd., Unit 800",Surrey,British Columbia,V3W 0H9,Active
155,1258,SWI,FALSE,SWI&HAR Combo- Port Coquitlam ,110-2105 Hawkins Street,Port Coquitlam,British Columbia,V3C 5Z8,Active
156,1259,SWI,FALSE,SC - Capilano Square          ,879 Marine Drive,North Vancouver,British Columbia,V7P 1R7,Closed
157,1260,SWI,FALSE,SC Plus- Markham Rd & 14th Ave,7750 Markham Road,Markham,Ontario,L3S 3K1,Active
158,1261,SWI,FALSE,"SC-Centennial Village, Okotoks",191 - 31 Southridge Dr,Okotoks,Alberta,T1S 2N3,Active
159,1262,SWI,FALSE,"SC-West Kelowna, Hub North    ",2115 Louie Drive,West Kelowna,British Columbia,V4T 3H1,Active
160,1263,SWI,FALSE,SC-Chemong Road&Tower Hill Rd ,491 Tower Hill Road,Peterborough,Ontario,K9H 7S3,Active
161,1264,SWI,FALSE,"SC-10909 Yonge St, Richmond Hi",10909 Yonge Street,Richmond Hill,Ontario,L4C 3E3,Active
162,1265,SWI,FALSE,"SC-680 Hwy 401 E, Mallorytown ",680 Highway 401 E,Mallorytown,Ontario,K0E 1R0,Active
163,1266,SWI,FALSE,"SC-12001 Hwy 400 N, King City ",12001 Highway 400 N,King City,Ontario,L7B 1A8,Active
164,1267,SWI,FALSE,"SC-1395 Hillside, Kamloops    ","1395 Hillside Drive, Unit #67",Kamloops,British Columbia,V2E 2R7,Active
165,1269,SWI,FALSE,"SC-Gordon Rd & Albert St., Reg",2615 Gordon Road,Regina,Saskatchewan,S4S 6H7,Active
166,1270,SWI,FALSE,"SC-Eagle Landing,Chilliwack   ",8249 Eagle Landing Pkwy,Chilliwack,British Columbia,V2P 7K6,Active
167,1276,SWI,FALSE,"SC-Westford Plaza, Scarborough",2131 Lawrence Ave E,Scarborough,Ontario,M1R 3A6,Active
168,1301,SWI,FALSE,Danforth Rd & Danforth Ave Sca,3400 Danforth Ave,Scarborough,Ontario,M1L 1E1,Active
169,1302,SWI,FALSE,Mississauga Rd/Lakeshore Rd Mi,252 Lakeshore Rd W,Mississauga,Ontario,L5H 1G6,Active
170,1303,SWI,FALSE,Bathurst & Eglinton West Toron,949 Eglinton Ave W,York,Ontario,M6C 2C3,Active
171,1304,SWI,FALSE,"SC-Mainway Drive, Burlington  ",4000 Mainway,Burlington,Ontario,L7M 4B9,Closed
172,1305,SWI,TRUE,Yonge/Elgin Mills Richmond Hil,11000 Yonge St,Richmond Hill,Ontario,L4C 3E4,Closed
173,1306,SWI,TRUE,SC Express - 561 Danforth Ave.,561 Danforth Ave,Toronto,Ontario,M4K 1P9,Closed
174,1307,SWI,FALSE,SC Express-CNE                ,CNE,Toronto,Ontario,"",Closed
175,1308,SWI,FALSE,SC Express-2075 Bayview Avenue,2075 Bayview Ave,Toronto,Ontario,M4N 3M5,Active
176,1309,SWI,FALSE,SC Express-IBM                ,3600 Steeles Ave E,Markham,Ontario,L3R 9Z7,Closed
177,1310,SWI,FALSE,109 St & Jasper Ave Edmonton  ,10188 - 109 St NW,Edmonton,Alberta,T5J 1M7,Active
178,1311,SWI,FALSE,"SC-Express Food Crt, Calgary  ",2000 Airport Rd NE,Calgary,Alberta,T2E 6W5,Active
179,1312,SWI,FALSE,Bloor St W And Spadina Toronto,346 Bloor Street West,Toronto,Ontario,M5S 1W9,Active
180,1701,SWI,FALSE,Broadway & Trutch Vancouver   ,3204 Broadway W,Vancouver,British Columbia,V6K 2H4,Closed
181,1702,SWI,FALSE,SC -  Red Deer                ,"5111-22nd Street, Unit #8",Red Deer,Alberta,T4R 2K1,Closed
182,1703,SWI,FALSE,Swiss-Fairview Park Mall      ,"2960 Kingsway Drive, Unit F04",Kitchener,Ontario,N2C 1X1,Active
183,1704,SWI,FALSE,Swiss-Moncton                 ,1933 Mountain Road,Moncton,New Brunswick,E1G 1A8,Active
184,1705,SWI,FALSE,Swiss-The Boardwalk           ,340 The Boardwalk,Waterloo,Ontario,N2T 0A6,Active
185,1706,SWI,FALSE,Swiss-Bradford                ,"489 Holland St. W., Bldg """"K""""",Bradford,Ontario,L3Z 0C1,Active
186,1707,SWI,FALSE,Swiss-Markham                 ,"",Markham,Ontario,"",Closed
187,1708,SWI,FALSE,"SC-Current Drive, Edmonton    ",6303 Currents Drive NW,Edmonton,Alberta,T6W 0L9,Active
188,1710,SWI,FALSE,SC-Grande Prairie             ,10820 100th Ave,Grande Prairie,Alberta,T8V 7K1,Active
189,1711,SWI,FALSE,SC-SC Express Pearson Int'l   ,Pearson International Airport,Mississauga,Ontario,L5P 1B2,Active
190,1725,SWI,TRUE,"SC-Lakeshore Rd., Burlington  ",5353 Lakeshore Rd,Burlington,Ontario,L7L 1C8,Closed
191,1726,SWI,FALSE,Upper Middle/Trafalgar/8th Lin,1011 Upper Middle Rd E Unit A1,Oakville,Ontario,L6H 4L2,Active
192,1727,SWI,FALSE,Highland Rd W & Westmount Kitc,525 Highland Rd W Unit 1,Kitchener,Ontario,N2M 5K1,Active
193,1728,SWI,FALSE,Highway 401/Highway 25 Milton ,50 Market Dr,Milton,Ontario,L9T 3H5,Active
194,1729,SWI,FALSE,Dundas & York Woodstock       ,623 Dundas St,Woodstock,Ontario,N4S 1E1,Closed
195,1730,SWI,FALSE,Parkdale & Stewart Blvd Brockv,358 Stewart Blvd,Brockville,Ontario,K6V 4X1,Active
196,1731,SWI,FALSE,SC-1661 Denison St - Markham  ,1661 Denison St  Unit T1,Markham,Ontario,L3R 6E3,Closed
197,1732,SWI,FALSE,"SC-50th Ave, Red Deer         ",2085 50th Avenue,Red Deer,Alberta,T4R 1Z4,Closed
198,1733,SWI,FALSE,"SC-5650 Spring Garden,Halifax ",5650 Spring Garden Rd,Halifax,Nova Scotia,"",Closed
199,1734,SWI,TRUE,"SC-Sackville Drive,Sackville  ",560 Sackville Dr,Lower Sackville,Nova Scotia,B4C 2S2,Closed
200,1735,SWI,FALSE,SC-655 University-Char PEI    ,655 University Ave,Charlottetown,Prince Edward Island,C1E 1E5,Closed
201,1736,SWI,FALSE,Champlain/Main St Moncton/Diep,9 Champlain St,Dieppe,New Brunswick,E1A 1N4,Closed
202,1737,SWI,FALSE,Brock/Kingston Rd Pickering   ,1680 Kingston Rd,Pickering,Ontario,L1V 5R1,Active
203,1738,SWI,FALSE,Merivale & Meadowlands Nepean ,1600 Merivale Rd,Nepean,Ontario,K2G 5J8,Active
204,1739,SWI,FALSE,SC-Nova Scotia                ,"",Halifax,Nova Scotia,"",Closed
205,1740,SWI,FALSE,"SC-310 Circle Drive, Saskatoon",310 Circle Drive,Saskatoon,Saskatchewan,S7L 5S8,Closed
206,1741,SWI,FALSE,"SC-Grand Lake Road, Sydney    ",482 Grand Lake Road,Sydney,Nova Scotia,B1P 5S8,Active
207,1742,SWI,FALSE,"SC-151 Front St. W., Toronto  ",151 Front Street W.,Toronto,Ontario,M5J 2N1,Closed
208,1743,SWI,FALSE,York Blvd & Bay St N Hamilton ,151 York Blvd,Hamilton,Ontario,L8R 3L4,Active
209,1744,SWI,FALSE,Hwy# 10 /South Of Steele Bramp,2 County Court Blvd,Brampton,Ontario,L6W 3W8,Active
210,1745,SWI,FALSE,Queensway & Kipling Etobicoke ,1255 The Queensway,Etobicoke,Ontario,M8Z 1S1,Active
211,1746,SWI,FALSE,SC:Nova Scotia                ,"",Saint John,New Brunswick,"",Closed
212,1747,SWI,TRUE,"SC-2808 St.Joseph Blvd,Orleans",2808 St Joseph Blvd,Orleans,Ontario,K1C 1G5,Closed
213,1748,SWI,FALSE,Don Mills /Barber Green North ,900 Don Mills Rd,Don Mills,Ontario,M3C 1V6,Active
214,1749,SWI,FALSE,"SC-1375 McPhillips, Winnipeg  ",1375 McPhillips St.,Winnipeg,Manitoba,R2V 3C4,Closed
215,1750,SWI,FALSE,SC Fairview &Guelph Line Burli,2422 Fairview St,Burlington,Ontario,L7R 2E4,Closed
216,1751,SWI,TRUE,"SC-570 Bloor St. W., Toronto  ",570 Bloor St W,Toronto,Ontario,M6G 1K1,Closed
217,1752,SWI,FALSE,Davis Dr/Leslie Newmarket     ,44-1111 Davis Dr,Newmarket,Ontario,L3Y 8X2,Active
218,1753,SWI,FALSE,Upper Ottawa & Rymal Hamilton ,1575 Upper Ottawa St Unit 12,Hamilton,Ontario,L8W 3E2,Active
219,1754,SWI,FALSE,"SC-Wonderland Rd.N., London   ",735 Wonderland Rd N,London,Ontario,N6H 4L1,Active
220,1755,SWI,FALSE,Memorial Ave/Hwy 12 Orillia   ,390 Memorial Ave,Orillia,Ontario,L3V 6K8,Active
221,1756,SWI,FALSE,SC - Cornwall                 ,"",Cornwall,Ontario,"",Closed
222,1757,SWI,FALSE,Crowchild Tr & Nosehill Dr Cal,28 Crowfoot Cres NW,Calgary,Alberta,T3G 2P6,Closed
223,1758,SWI,FALSE,Totten St & Tecumseh Rd Windso,1690 Huron Church Rd,Windsor,Ontario,N9C 2L1,Closed
224,1759,SWI,FALSE,SC - Pickering                ,"",Pickering,Ontario,"",Closed
225,1760,SWI,TRUE,"SC-801 Marine Dr., N.Vancouver",801 Marine Dr,North Vancouver,British Columbia,V7P 3K6,Closed
226,1761,SWI,TRUE,"SC-Lougheed Hwy, Burnaby      ",3860 Lougheed Hwy,Burnaby,British Columbia,V5C 6N4,Active
227,2312,HAR,FALSE,HV-Mavis & Burnhamthorpe      ,715 Burnhamthorpe Rd W,Mississauga,Ontario,L5C 3A6,Active
